friendo\n\nbye, 1
decider, 1
Netflix\u2019s, 1
//t.co/T1egG0RjEI, 1
//t.co/tDtyjSs28o, 1
thing\nLa, 1
papel\nThe, 1
world, 1
//t.co/ni9OQiNXv, 1
also, 1
original\u2019s, 1
creator, 1
launching, 1
days, 1
rewatching, 1
rlly, 1
owns, 1
makes, 1
fall, 1
crime, 1
criminals, 1
//t.co/8EZbtbQ4B, 1
Jure, 1
//t.co/jjzjA05qG, 1
PARDOOOOOOON, 1
//t.co/BJXl2XGwC, 1
//t.co/XU7rVE1jD, 1
MahaBahjat, 1
\u00a1\u00a1Caboom, 1
//t.co/h5PtDN1qL, 1
HEEEEIN, 1
\ud83e\udd2f, 1
//t.co/YDJYmKDf3, 1
but_why.gif, 1
//t.co/JAY0NI0AR, 1
//t.co/83DMBhR4y, 1
Wait, 1
//t.co/h4f9TJAun, 1
//t.co/GFjt7Dpxm, 1
YEAHHHHHHHHHHHHHHHHH, 1
//t.co/WkCGcpoJI, 1
*not*, 1
//t.co/6NGeJSw3S, 1
//t.co/bYTkVGBwF, 1
//t.co/tGHCwl4q2, 1
expltdr, 1
aura, 1
1000292992, 1
ans, 1
//t.co/ipLhULXL0, 1
Alright, 1
//t.co/fRYDLOgZi, 1
\ud83d\udca5\ud83d\udca5\ud83d\udca5\ud83d\udca5\nGod, 1
save, 1
\u2763\ufe0f\u2763\ufe0f\u2763\ufe0f\ud83d\udd25\ud83d\udca5\n, 1
IsabelleSpanu, 1
Melolimparfaite, 1
LaCasadePapel, 1
//t.co/a0EQmwmV3, 1
Started, 1
night, 1
HOOKED, 1
//t.co/jiifsTr9W, 1
DONT, 1
//t.co/Eda9Xce51, 1
//t.co/ROry61s2O, 1
Ow, 1
//t.co/nTglLRILa, 1
//t.co/gDH9qpiUU, 1
pitain, 1
//t.co/DBZDTciRs, 1
tears, 1
eyes, 1
//t.co/KsnQg3yw1, 1
BORDEL, 1
//t.co/waHXR4VTe, 1
//t.co/PdpEIq3fbD, 1
AlexieBreton, 1
//t.co/gDH9qpiUU4, 1
//t.co/JOPF5sfPU, 1
//t.co/Ru8N6A7m4, 1
Sorpresa, 1
motherfucka, 1
//t.co/ZSxOfWBEc, 1
bruuuuuuuuuuuuh, 1
//t.co/IdsLoOhjJ, 1
\n\ud83d\udc83\ud83d\udc83\ud83d\udc83\ud83d\udc83\ud83d\udc83\nThank, 1
//t.co/whL3tNANF, 1
LIFE, 1
F*CKING, 1
SAVED, 1
//t.co/61JORSEwY, 1
//t.co/S5ioyyY5Y, 1
renew, 1
3ashalh, 1
//t.co/S5ioyyY5Y3, 1
//t.co/pbalTv7Uu, 1
//t.co/3TYyxVfHg, 1
Omfg, 1
\ud83d\ude31\ud83d\ude31\ud83d\ude31\ud83d\ude31\ud83d\ude31\ud83d\ude31\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d, 1
//t.co/8Ka6Vgnag, 1
YEEAAAAAAAAAAH, 1
//t.co/L1ykQLiBF, 1
//t.co/OjLmefcxx, 1
//t.co/F1W5sMKBl, 1
Non-Spanish, 1
\u270c\ud83c\udffc, 1
\n\nProfessor-\, 1
//t.co/2od2grGc6n, 1
//t.co/0tfBKSI5b, 1
Cringe, 1
//t.co/SggRRGxxO, 1
//t.co/YqrwTeKOj, 1
deserve, 1
